Código IES,Nome da IES - Instituição de Ensino Superior
123,FACULDADE DE ENGENHARIA CIVIL DE ARARAQUARA
124,UNIVERSIDADE DE ARARAQUARA
125,CENTRO UNIVERSITARIO DE ARARAS
126,INSTITUTO NACIONAL DE TELECOMUNICACOES
127,FACULDADE DE CIENCIAS SOCIAIS APLICADAS DE ATI
128,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE TE
129,FACULDADE DE DIREITO DE TEOFILO OTONI
130,FACULDADE DE ADMINISTRACAO DE TEOFILO OTONI
131,FACULDADE DE EDUCACAO FISICA DE BARRA BONITA
132,FACULDADE DE EDUCACAO ANTONIO AUGUSTO REIS NEV
133,FACULDADE DE CIENCIAS CONTABEIS DE BARRETOS
134,FACULDADE DE TECNOLOGIA E PROCESSAMENTO DE DAD
135,CENTRO UNIVERSITARIO CLARETIANO
136,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE BE
137,CENTRO UNIVERSITARIO SAGRADO CORACAO
138,CENTRO UNIVERSITARIO BARAO DE MAUA
139,FACULDADE DE CIENCIAS ECONOMICAS DO TRIANGULO
140,UNIVERSIDADE DE VASSOURAS
141,FACULDADE DE DIREITO DE VARGINHA  FADIVA
142,CENTRO UNIVERSITARIO DO TRIANGULO
143,UNIVERSIDADE DE UBERABA
144,FACULDADE DE CIENCIAS HUMANAS DE OLINDA
145,FACULDADE DE CIENCIAS HUMANAS E SOCIAIS
146,CENTRO UNIVERSITARIO DE RIO PRETO
149,FACULDADE DE MEDICINA DE SAO JOSE DO RIO PRETO
150,UNIVERSIDADE DE SOROCABA
151,ESCOLA DE ADMINISTRACAO DE EMPRESAS DE SAO PAU
152,FACULDADE DE CIENCIAS CONTABEIS
158,CONSERVATORIO BRASILEIRO DE MUSICA  CENTRO UNI
159,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE CA
160,FACULDADE FRASSINETTI DO RECIFE
161,CENTRO UNIVERSITARIO ASSUNCAO
162,CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO
163,UNIVERSIDADE ESTACIO DE SA
165,UNIVERSIDADE VEIGA DE ALMEIDA
166,FAI  CENTRO DE ENSINO SUPERIOR EM GESTAO  TECN
167,UNIVERSIDADE METODISTA DE SAO PAULO
170,FUNVIC  FACULDADE FUNVIC DE MOCOCA
171,FACULDADE DE DIREITO DO SUL DE MINAS
172,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS EUGEN
173,FACULDADE DE CIENCIAS MEDICAS DR JOSE ANTONIO
174,INSTITUTO SUPERIOR DE ESTUDOS SOCIAIS CLOVIS B
176,UNIVERSIDADE CASTELO BRANCO
177,FACULDADE DE CIENCIAS ECONOMICAS E DE ADMINIST
178,FACULDADE DE ENGENHARIA DE SAO JOSE DO RIO PRE
179,FACULDADE DE ARQUITETURA E URBANISMO DE SAO JO
180,FACULDADE DE DIREITO DE CARUARU
181,FACULDADE DE ODONTOLOGIA DE CARUARU
190,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDACAO T
191,FACULDADE DE CIENCIAS CONTABEIS E DE ADMINISTR
192,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS SOUZA
193,FACULDADE DE ENGENHARIA SOUZA MARQUES
194,ESCOLA DE ENFERMAGEM DA FUNDACAO TECNICO EDUCA
195,FACULDADE PRESBITERIANA MACKENZIE RIO
197,FACULDADE DE EDUCACAO SUPERIOR DO PARANA
198,CENTRO UNIVERSITARIO DA CIDADE
199,FACULDADE SAO LUIS
200,FACULDADE CASPER LIBERO
201,FACULDADE BRASILEIRA DE CIENCIAS JURIDICAS
202,FACULDADE DO RIO DE JANEIRO
203,UNIVERSIDADE SAO JUDAS TADEU
206,CENTRO UNIVERSITARIO ITALOBRASILEIRO
207,CENTRO UNIVERSITARIO MOURA LACERDA
208,UNIVERSIDADE DE RIBEIRAO PRETO
210,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SA
211,FACULDADE DE CIENCIAS ECONOMICAS E ADMINISTR1S
212,FACULDADE DE FILOSOFIA DE CAMPO GRANDE
213,CENTRO UNIVERSITARIO ALVARES PENTEADO
214,FACULDADE DE ENGENHARIA DE MINAS GERAIS  FEAMI
215,UNIVERSIDADE DO GRANDE ABC
216,CENTRO UNIVERSITARIO METODISTA IZABELA HENDRIX
217,CENTRO UNIVERSITARIO DAS FACULDADES ASSOCIADAS
218,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE DU
219,FACULDADE DE EDUCACAO CIENCIAS E ARTES DOM BOS
220,FACULDADE SAO JUDAS TADEU
221,UNIVERSIDADE CRUZEIRO DO SUL
222,CENTRO UNIVERSITARIO DE VOTUPORANGA
223,FACULDADE DE EDUCACAO FISICA DE SANTO ANDRE
224,CENTRO UNIVERSITARIO SAUDE ABC
225,FACULDADE DE SANTO ANDRE
226,CENTRO UNIVERSITARIO LUSIADA
227,UNIVERSIDADE CATOLICA DE SANTOS
228,FACULDADE DE ENGENHARIA INDUSTRIAL DE SAO BERN
229,ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS D
230,ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS D
231,FACULDADE DE SAO BERNARDO DO CAMPO  FASB
234,FACULDADES OSWALDO CRUZ
