Código IES,Nome da IES - Instituição de Ensino Superior
2032,FACULDADE DE PEDAGOGIA E FORMACAO DE NORMALIST
2033,INSTITUTO SUPERIOR DE EDUCACAO DE FLORESTA
2034,FACULDADE DE CIENCIAS CONTABEIS DE ARAGUAINA
2035,UNIAO LATINOAMERICANA DE TECNOLOGIA
2036,FACULDADE ESTACIO DO PARA  ESTACIO FAP
2037,FACULDADE UNIME DE CIENCIAS EXATAS E TECNOLOGI
2038,INSTITUTO DE EDUCACAO SUPERIOR VALE DO MEARIM
2039,FACULDADE CIDADE LUZ
2040,FACULDADE DO FUTURO
2041,FACULDADE SUDAMERICA
2042,FACULDADE FIGUEIREDO COSTA  FIC
2043,CENTRO UNIVERSITARIO VALE DO SALGADO
2044,INSTITUTO SUPERIOR DE EDUCACAO VALE DO SALGADO
2045,FACULDADE AMADEUS
2046,INSTITUTO SUPERIOR DE EDUCACAO AMADEUS
2047,FACULDADE DE PSICOLOGIA DE CACOAL
2048,FACULDADE DE CIENCIAS E TECNOLOGIA DE CACOAL
2049,INSTITUTO DE ESTUDOS SUPERIORES DO MARANHAO
2050,ESCOLA SUPERIOR DE GESTAO E CIENCIAS DA SAUDE
2051,FACULDADE INTERFUTURA
2052,FACULDADE DE DIREITO DE LAGES
2053,FACULDADE PARA O DESENVOLVIMENTO DE PERNAMBUCO
2054,FACULDADE DE EDUCACAO DE NOVA ANDRADINA
2055,FACULDADE ARAUCARIA DO SUDOESTE DO PARANA
2056,FACULDADE DA ALTA PAULISTA
2057,FACULDADE DE MOGI GUACU
2058,FACULDADE METROPOLITANA
2059,FACULDADE DE EDUCACAO E CIENCIAS DE TAGUATINGA
2060,FACULDADE PADRE SEVERIANO LTDA
2062,INSTITUTO SUPERIOR DE EDUCACAO CENECISTA DE VA
2063,INSTITUTO NOSSA SENHORA APARECIDA DE EDUCACAO
2064,FACULDADE METROPOLITANA DE SALVADOR
2065,FACULDADE DE FILOSOFIA E TEOLOGIA DE ALAGOAS
2066,FACULDADE LEONARDO DA VINCI
2067,FACULDADE DE CIENCIAS E EMPREENDEDORISMO
2068,FACULDADE DE CASTILHO
2069,FACULDADE DE TEOLOGIA E CIENCIAS HUMANAS
2070,FACULDADE DE CIENCIAS SOCIAIS AMORIL
2071,FACULDADE TEOLOGICA BATISTA DO BRASIL
2072,FACULDADE DE DESENVOLVIMENTO SUSTENTAVEL DE CR
2073,INSTITUTO SUPERIOR DE EDUCACAO PADRAO
2074,INSTITUTO EDUCACIONAL SAO JOAO DA ESOCIA DE EN
2075,INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS
2076,CENTRO UNIVERSITARIO UNIRB
2077,FACULDADE ANGLOAMERICANO
2078,FACULDADE DE CIENCIAS HUMANAS E SOCIAIS DE JOI
2079,FACULDADE DE ITAITUBA
2080,FACULDADE UNIVERSICA DE FILOSOFIA
2081,FACULDADE DE CIENCIAS GERENCIAS DE PEDREIRA
2082,FACULDADE DE CIENCIAS MEDICAS DA PARAIBA
2084,FACULDADE CNEC NOVA PETROPOLIS
2085,CENTRO UNIVERSITARIO DE SALVADOR
2086,INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUACU
2087,FACULDADE MARECHAL RONDON
2088,INSTITUTO SUPERIOR DE EDUCACAO SANTO AGOSTINHO
2089,FACULDADE CENECISTA DE MOSSORO
2090,FACULDADE DE TURISMO DE CONGONHAS
2091,INSTITUTO SUPERIOR DE EDUCACAO PROSABER
2092,FACULDADE DOM PEDRO II
2093,FACULDADE GREGOR MENDEL
2094,FACULDADE DE ENSINO A
2095,INSITUTO SUPERIOR DE JACAREI
2096,FACULDADE DOCTUM DE MANHUACU  DOCTUM
2097,ESCOLA SUPERIOR DE GUARARAPES
2098,FACULDADE EXCELENCIA
2099,INSTITUTO DE ENSINO PESQUISA E EXTENSAO DO BRA
2100,FACULDADE DE LETRAS DO SERRO
2101,FACULDADE ASCENSAO
2102,FACULDADE DE AURIFLAMA
2103,FACULDADE E CENTRO DE ENSINO DE LONDRINA
2104,FACULDADE DE TEOLOGIA DE HOKEMAH
2105,FACULDADE ADVENTISTA DE INFORMATICA
2107,FACULDADE IBTE
2108,FACULDADE DE DIREITO DA SEDES
2109,FACULDADE JOAO PESSOA
2110,FACULDADE DOM CESAR
2111,CENTRO UNIVERSITARIO INTA
2112,FACULDADE METODISTA DE BIRIGUI
2113,FACULDADE DOM BOSCO DE PORTO ALEGRE
2114,FACULDADE DE TEOLOGIA FILADELFIA
2115,FACULDADE JOAO PAULO II
2116,FACULDADE IGUAPENSE SANTO AUGUSTO
2117,FACULDADE DE CIENCIA E TECNOLOGIA
2118,INSTITUTO DE EDUCACAO SUPERIOR GUAIANAS
2119,FACULDADE GUARARAPES
2120,INSTITUTO DE FILOSOFIA E DE TEOLOGIA PAULO VI
2121,FACULDADE DE INFORMATICA DE PEDREIRA
2122,CENTRO UNIVERSITARIO ESTACIO DE SERGIPE
2123,CENTRO UNIVERSITARIO MAX PLANCK
2124,FACULDADE CALAFIORI
2125,FACULDADE DE EDUCACAO DE UBERLANDIA
2126,ESCOLA DE DIREITO DO RIO DE JANEIRO
2127,FACULDADE BATISTA DE EDUCACAO
2128,ESCOLA DE DIREITO DE SAO PAULO  FGV DIREITO SP
2129,ESCOLA DE ECONOMIA DE SAO PAULO
2130,FACULDADE EVANGELICA DE TEOLOGIA DE BELO HORIZ
2131,FACULDADE DE SAO BERNARDO DO CAMPO
2132,CENTRO UNIVERSITARIO UNINORTE
2133,FACULDADE DE CIENCIAS  EDUCACAO E TEOLOGIA DO
2134,FACULDADE ASSEMBLEIANA DO BRASIL
2135,CENTRO UNIVERSITARIO CATOLICA DE QUIXADA
2136,INSTITUTO DE JUINA DE ENSINO SUPERIOR
2137,FACULDADE SAO MARCOS
2138,INSTITUTO SUPERIOR DE EDUCACAO DIVINO SALVADOR
2139,FACULDADE DE INFORMATICA DE PARANAIBA
2140,FACULDADE NOSSA SENHORA DE LOURDES
2141,FACULDADES BATISTA DO PARANA
2142,FACULDADE MULTIEDUC1
2143,INSTITUTO SUPERIOR DE EDUCACAO DE DUQUE DE CAX
2144,FACULDADE ECOPORANGA
2145,FACULDADE PROMOVE DE TECNOLOGIA
2146,FACULDADE DO ACRE
2147,CENTRO UNIVERSITARIO CEUNI  FAMETRO
2148,FACULDADE DE PALMAS
2149,FACULDADE MATO GROSSO DO SUL
2150,CENTRO UNIVERSITARIO DO PIAUI
2151,INSTITUTO SUPERIOR DE EDUCACAO BERLAAR
2152,FACULDADE DE ADMINISTRACAO E TECNOLOGIA
2153,FACULDADE DE DIREITO DE MACAE
2154,INSTITUTO SUPERIOR DE CIENCIAS HUMANAS E SOCIA
2155,FACULDADE DE CIENCIAS SOCIAIS E DA SAUDE DE CA
2156,FACULDADE SAO TOMAS DE AQUINO
2157,INSTITUTO SUPERIOR DE EDUCACAO SANTANA
2158,FACULDADE SANTA MARIA
2160,FACULDADE SANT ANA
2161,FACULDADE TEOLOGICA DE VALENCA
2162,INSTITUTO METROPOLITANO DE ENSINO SUPERIOR DE
2163,FACULDADE EUGENIO GOMES
2164,FACULDADE PANAMERICANA
2165,FACULDADE FOZ DO IGUACU
2166,INSTITUTO DE EDUCACAO E CULTURA INTEGRADA
2167,FACULDADE DE EDUCACAO E CIENCIAS GERENCIAIS DE
2168,FACULDADE CAMPO GRANDE
2169,FACULDADE CENECISTA DE FORTALEZA
2170,FACULDADE DE MATEMATICA JESUS MARIA JOSE
2171,INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR
2172,FACULDADE CENECISTA DE TRES RIOS
2173,FACULDADE GUAIANAS
2174,FACULDADE DE SANTA CATARINA
2175,CENTRO UNIVERSITARIO DANTE
2176,FACULDADE DE CIENCIAS BIOMEDICAS DE COLATINA
2177,FACULDADE INSTITUTO PAULISTA DE ENSINO
2178,FACULDADE CENECISTA DE MACAE
2179,FACULDADE DE TURISMO DO ESTADO DO RIO DE JANEI
2180,RATIO  FACULDADE TEOLOGICA E FILOSOFICA
2181,INSTITUTO SUPERIOR DE EDUCACAO CENECISTA DE CA
2182,FACULDADE BATISTA IDA NELSON
2183,CENTRO UNIVERSITARIO FUNDACAO SANTO ANDRE
2184,FACULDADE CNEC GRAVATAI
2185,FACULDADE DE NUTRICAO DOS CAMPOS GERAIS
2186,FACULDADE SALESIANA DOM BOSCO
2187,FACULDADE DE CIENCIAS GERENCIAIS DE VALINHOS
2188,INSTITUTO SUPERIOR DE EDUCACAO NOSSA SENHORA D
2189,FACULDADE DO MARANHAO
2190,FACULDADE JULIO CAMPOS
2191,FACULDADE ANHANGUERA DE PELOTAS
2192,INSTITUTO SUPERIOR DE EDUCACAO IVOTI
2193,INSTITUTO SUPERIOR DE EDUCACAO IDEAL
2194,FACULDADE ANHANGUERA DO RIO GRANDE
2195,FACULDADE DE CIENCIAS GERENCIAIS DE MINAS GERA
2196,FACULDADE DE INFORMATICA E TECNOLOGIAS VARZEA
2197,FACULDADE VILLAS BOAS
2198,FACULDADE MONTEIRO LOBATO
2199,FACULDADE DE EDUCACAO E TEOLOGIA DO BRASIL
2200,FACULDADE VALE DO GORUTUBA
2201,FACULDADE ALPHA
2202,INSTITUTO SUPERIOR DE EDUCACAO DE GUARATUBA
2203,FACULDADE DE EDUCACAO ANCHIETA
2204,FACULDADE CATARINENSE DOM BOSCO
2205,FACULDADE REGES DE TUPI PAULISTA
2206,FACULDADE FAE SAO JOSE DOS PINHAIS
2207,FACULDADE SAO JUDAS TADEU
2208,FACULDADE LUIS DE CAMOES
2209,FACULDADE DE CIENCIAS SOCIAIS APLICADAS
2210,FACULDADE GARAVELO
2211,INSTITUTO SUPERIOR DE EDUCACAO CENECISTA DE FA
2212,FACULDADE UNIDADE DAS AMERICAS
2213,FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS DE G
2214,FACULDADE DE ENGENHARIA DA TERRA DE BRASILIA
2215,FACULDADE DE TEOLOGIA DO CEARA
2216,INSTITUTO SUPERIOR DE EDUCACAO DE IUNA
2217,FACULDADE DE CIENCIAS GERENCIAIS DE IUNA
2218,FACULDADE DE CIENCIAS EXATAS
2219,FACULDADE MUNDO MODERNO
2220,FACULDADE DOCTUM DE JUIZ DE FORA
2221,FACULDADE MADEIRA MAMORE
2222,CENTRO UNIVERSITARIO DO RIO SAO FRANCISCO UNIR
2223,FACULDADE DE CIENCIAS SOCIAIS E DA SAUDE DE TE
2224,FACULDADES INTEGRADAS DE IMPERATRIZ
2225,INSTITUTO SUPERIOR DE FORMACAO DE PROFESSORES
2226,FACULDADE DE CIENCIAS DA SAUDE
2227,FACULDADE DE CIENCIAS BIOLOGICAS JK
2228,FACULDADE DA SAUDE HUMANA
2229,FACULDADE VICTOR HUGO
2230,FACULDADE DE ADMINISTRACAO JK
2231,FACULDADE DE COMUNICACAO SOCIAL JK
2232,FACULDADE DE ADMINISTRACAO E MARKETING DE BRAS
2233,FACULDADE DE CIENCIAS SOCIAIS APLICADAS DE BEL
2234,FACULDADE DE PEDAGOGIA DE BETIM
2235,FACULDADE TEOLOGICA DAS ASSEMBLEIAS DE DEUS EM
2236,ESCOLA SUPERIOR DE ADMINISTRACAO MARKETING E C
2237,FACULDADE TEOLOGICA BATISTA EQUATORIAL
2238,FACULDADE DE PSICOLOGIA DOS CAMPOS GERAIS
2239,FACULDADE DE DIREITO DE VILHA VELHA
2240,FACULDADE DE FORTALEZA
2241,CENTRO UNIVERSITARIO DO SUDESTE MINEIRO
2242,FACULDADE DO RECIFE
2243,FACULDADE PARAIBANA
2244,FACULDADE DA CIDADE DE MACEIO
2245,FACULDADE DO ESPIRITO SANTO
2246,FACULDADE METROPOLITANA DE CIENCIAS E TECNOLOG
2247,FACULDADE PAULISTA SAO JOSE
2248,FACULDADE SERGIPANA
2249,FACULDADE LOGOS EM ARACAJU
2251,FACULDADE DE POMPEIA
2252,FACULDADE DE CIENCIA DA EDUCACAO
2253,FACULDADE DE DIREITO DE PRIMAVERA DO LESTE
2254,FACULDADE DE CIENCIAS GERENCIAIS
2255,INSTITUTO DE ENSINO SUPERIOR DO AMAZONAS
2256,FACULDADE STELLA MARIS  FSM
2257,FACULDADE DIADEMA
2258,FACULDADE DE PRIMEIRO MUNDO
2259,INSTITUTO SUPERIOR EDUCACAO LEONARDO DA VINCI
2260,FACULDADE DE TECNOLOGIA IESVILLE
2261,FACULDADE DE CIENCIAS HUMANAS E DA SAUDE DE TA
2262,INSTITUTO DE EDUCACAO NORMAL SUPERIOR DE PIMEN
2263,FACULDADE SANTO ANTONIO
2264,FACULDADE DE COMUNICACAO PITAGORAS UNIDADE GUA
2265,FACULDADE DE CIENCIAS SOCIAIS E APLICADAS
2266,FACULDADE CAMBURY DE FORMOSA
2267,FACULDADE DE SAUDE DE MINAS GERAIS
2268,FACULDADE DE TEOLOGIA
2269,INSTITUTO SUPERIOR DE EDUCACAO LUMINI
2270,FACULDADE DE CIENCIAS SOCIAIS APLICADAS DE EXT
2271,FACULDADE PITAGORAS DE IPATINGA
2272,FACULDADE DE PSICOLOGIA DE LAGES
2273,INSTITUTO SUPERIOR DE EDUCACAO DO ALTO SAO FRA
2274,FACULDADE CIDADANIA
2275,FACULDADE SANTO AGOSTINHO
2276,FACULDADE DE DIREITO DE VALINHOS
2277,INSTITUTO SUPERIOR DE EDUCACAO CENECISTA DE UN
2278,FACULDADE IGARATA
2279,CENTRO UNIVERSITARIO METROCAMP WYDEN
2280,FACULDADE SUPERIOR DE RIBAS DO RIO PARDO
2281,FACULDADE DE FILOSOFIA SAO BOAVENTURA
2282,FACULDADE DE CAFELANDIA
2283,FACULDADE SAO JOSE DA COSTA VERDE
2284,FACULDADE DE FILOSOFIA CENCIAS E LETRAS DE FAX
2285,FACULDADE DE PEDAGOGIA DE DORES DO INDAIA
2286,FACULDADE DE BOM JESUS
2287,ESCOLA SUPERIOR DE TEOLOGIA E ESPIRITUALIDADE
2288,FACULDADE ALMEIDA RODRIGUES
2289,FACULDADE UNIAO CULTURAL DO ESTADO DE SAO PAUL
2290,FACULDADE DE EDUCACAO CIENCIAS E HUMANIDADES
2291,INSTITUTO SUPERIOR DE EDUCACAO DE BEBEDOURO
2292,INSTITUTO DE EDUCACAO NORMAL SUPERIOR
2293,FACULDADE DE CIENCIAS HUMANAS BIOLOGICAS E DA
2294,FACULDADE DE CIENCIAS APLICADAS DA REGIAO CENT
2295,INSTITUTO MEDICENSE DE EDUCACAO SUPERIOR
2296,FACULDADE DE LETRAS DE CACOAL
2297,FACULDADE DE DIREITO DE SANTA MARIA
2298,ESCOLA SUPERIOR DE DIREITO
2299,FACULDADE ESPECIAL DE EDUCACAO E CULTURA
2300,INSTITUTO DE EDUCACAO SUPERIOR DE ROLIM DE MOU
2301,FACULDADE FIDELIS
2302,FACULDADE PORTO SEGURO
2303,FACULDADE CIMO
2304,INSTITUTO DE ENSINO SUPERIOR DA FUNLEC DE BONI
2305,FACULDADE DE DIREITO DE PATOS
2306,FACULDADE RIO BRANCO DO SUL
2307,INSTITUTO SUPERIOR DE EDUCACAO DE ITABIRA
2308,FACULDADE GEREMARIO DANTAS
2309,FACULDADE NOVO MILENIO
2310,FACULDADE DA REGIAO DOS VALES
2311,FACULDADE KENNEDY DE MINAS GERAIS  FKMG
2312,FACULDADE LUTERANA RUI BARBOSA
2313,FACULDADE DE TEOLOGIA DE BOA VISTA
2314,INSTITUTO DE ENSINO SUPERIOR TECNOLOGICO DE LO
2316,INSTITUTO NACIONAL DE DESENVOLVIMENTO DO ENSIN
2317,FACULDADE DO DESCOBRIMENTO
2318,FACULDADE DOM BOSCO DE NOVA AURORA
2319,ESCOLA SUPERIOR DE EDUCACAO CORPORATIVA
2320,INSTITUTO SUPERIOR DE EDUCACAO ATENEU
2321,FACULDADE INESP
2322,FACULDADE ATENEU
2323,FACULDADE DA AMAZONIA
2324,FACULDADE ANHANGUERA DE SAO JOSESC
2325,INSTITUTO SUPERIOR DE EDUCACAO DA AMAZONIA
2326,FACULDADE NOVO MILENIO
2327,FACULDADE SERRANA
2328,FACULDADE ITEANA DE BOTUCATU
2329,FACULDADE BATISTA DO NORDESTE
2330,FACULDADE CANDIDO RONDON
2331,ESCOLA SUPERIOR DE TEOLOGIA E FILOSOFIA DO BRA
2332,FACULDADE CORPORATIVA CESPI
2333,FACULDADE DE TEOLOGIA MOKITI OKADA
2334,FACULDADE CNEC RIO DAS OSTRAS
2335,FACULDADE JOAQUIM MACHADO
2336,CENTRO UNIVERSITARIO MONTES BELOS
2337,INSTITUTO SUPERIOR DE EDUCACAO DE MONTES BELOS
2338,INSTITUTO BRASILEIRO DE ESTUDOS TRIBUTARIOS
2339,FACULDADE INTERNACIONAL DE HOTELARIA E TURISMO
2340,FACULDE ALPHAVILLE DE CAMPINAS
2341,FACULDADE DA ALDEIA DE CARAPICUIBA
2342,INSTITUTO SUPERIOR DE EDUCACAO CERES
2343,CENTRO UNIVERSITARIO U:VERSE
2344,FACULDADE ITEANA DE IBITINGA
2345,FACULDADE SETE DE SETEMBRO
2346,INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER
2347,FACULDADE GENNARI PEARTREE
2348,INSTITUICAO DE ENSINO SAO FRANCISCO
2349,DINAMICO FACULDADE DE FLORIANO LTDA
2350,ESCOLA SUPERIOR MADRE CELESTE
2351,FACULDADE ESPIRITO SANTENSE DE CIENCIAS JURIDI
2352,INSTITUTO DE EDUCACAO SUPERIOR PIO XII
2353,FACULDADE DE ADMINISTRACAO DO CENTRO EDUCACION
2354,INSTITUTO SUPERIOR DE EDUCACAO DO BRASIL
2355,FACULDADE ANHANGUERA DE MATAO
2356,FACULDADE PAN AMERICANA
2357,FACULDADE DE CIENCIAS BIOLOGICAS E DA SAUDE DO
2358,INSTITUTO SUPERIOR DE EDUCACAO DE FORTALEZA
2359,INSTITUTO SUPERIOR DE EDUCACAO NOVO MILENIO
2360,INSTITUTO SUPERIOR DE EDUCACAO MESTRE
2361,FACULDADE PADRAO
2362,FACULDADE DE CIENCIAS MEDICAS DE CAMPINA GRAND
2363,FACULDADE NOVO MILENIO
2364,FACULDADE DE ADMINISTRACAO DE EMPRESAS DE PARA
2365,CENTRO UNIVERSITARIO CATOLICA DO TOCANTINS
2366,FACULDADE DE SISTEMAS DE INFORMACAO DE PARAISO
2367,INSTITUTO SUPERIOR DE EDUCACAO NOVO MILENIO
2368,FACULDADE SAO LEOPOLDO MANDIC
2369,INSTITUTO DE ENSINO SUPERIOR SANTO ANTONIO
2370,INSTITUTO SUPERIOR DE EDUCACAO NOVO MILENIO
2371,INSTITUTO DE EDUCACAO SUPERIOR SAO FRANCISCO D
2372,INSTITUTO DE CIENCIAS GERENCIAIS DE BRASILIA
2373,FACULDADES RESENDE DE FREITAS
2374,FACULDADES INTEGRADAS CONTEMPORANEAS
2375,FACULDADE VIZCAYA
2376,INSTITUTO SUPERIOR DE EDUCACAO DE BRASILIA
2377,INSTITUTO SUPERIOR DE EDUCACAO CENECISTA PRESI
2378,FACULDADE DE ADMINISTRACAO DE CAMPINA VERDE
2379,INSTITUTO SUPERIOR DE EDUCACAO DE CACOAL
2380,FACULDADE ESTACIO DO AMAPA  ESTACIO AMAPA
2381,INSTITUTO DE ENSINO E CULTURA DE DOURADOS
2382,INSTITUTO SUPERIOR DE EDUCACAO DE TEOFILO OTON
2383,FACULDADE MERIDIONAL
2384,FACULDADE INTEGRADA DO BRASIL
2385,INSTITUTO SUPERIOR DE EDUCACAO NOVO MILENIO
2386,FACULDADE SUL RIOGRANDENSE
2387,FACULDADES INTEGRADAS POSIVILLE
2388,FACULDADE NOVO MILENIO
2389,FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI
2390,INSTITUTO BRUSQUENSE DE ENSINO SUPERIOR
2391,INSTITUTO SUPERIOR DE EDUCACAO NOVO MILENIO
2392,INSTITUTO SUPERIOR DE EDUCACAO DE SAO FRANCISC
2393,FACULDADE MARISTA
2394,FACULDADE DE INFORMATICA DE CACOAL
2395,FACULDADE DE CAMPO VERDE
2396,INSTITUTO DE EDUCACAO SUPEIOR DO SERTAO EM PAO
2397,FACULDADE FUCAPE
2398,FACULDADE CANDIDO RONDON DE CAMPO VERDE
2399,FACULDADE DE SOROCABA
2400,FACULDADE DOM BOSCO DE MARINGA
2401,INSTITUTO SUPERIOR DE EDUCACAO DE CAMPO BELO
2402,FACULDADE DE TECNOLOGIA E CIENCIAS
2403,FACULDADE SALESIANA DE PINDAMONHANGABA
2404,FACULDADES INTEGRADAS DE FILOSOFIA E CIENCIAS
2405,INSTITUTO SUPERIOR DE EDUCACAO DE SANTA LUZIA
2406,FACULDADE DE GESTAO E EMPREENDEDORISMO
2407,FACULDADES INTEGRADAS FACVEST
2408,FACULDADE ESAMC SANTOS
2409,CENTRO UNIVERSITARIO TABOSA DE ALMEIDA
2410,FACULDADE CEARENSE
2411,FACULDADE DA CIDADE DO NATAL
2412,FACULDADE ECONOROESTE
2413,FACULDADE DE ENSINO SUPERIOR DE FLORIANO
2414,INSTITUTO SUPERIOR DE EDUCACAO IESDE
2415,FACULDADE BOM JESUS
2416,INSTITUTO SUPERIOR DE EDUCACAO DE BOTUCATU
2417,INSTITUTO SUPERIOR DE EDUCACAO METROPOLITANO D
2418,FACULDADES INTEGRADAS DO RECONCAVO
2419,FACITALGO FACULDADE DE CIENCIAS E TECNOLOGIA D
2420,FACULDADE PARANAENSE
2421,INSTITUTO DE ENSINO SUPERIOR
2422,FACULDADE DE FILOSOFIA LETRAS E ARTES DE MONTE
2423,FACULDADE DE CIENCIA E TECNOLOGIA DE MONTES CL
2424,FACULDADE DE SISTEMA DE INFORMACAO DE MARABA
2425,FACULDADE DE JIPARANA
2426,FACULDADE INTEGRADA BRASIL AMAZONIA  FIBRA
2427,FACULDADE LUSOFONA DA BAHIA
2428,FACULDADE DE CIENCIAS E TECNOLOGIAS DE CAMPOS
2429,INSTITUTO SUPERIOR DE EDUCACAO
2430,FACULDADE CATOLICA ORTODOXA SEDES SAPIENTIAM
2431,FACULDADE ESTACIO DE IBIUNA
2432,FACULDADE ALPHAVILLE DE JUNDIAI
2433,INSTITUTO SUPERIOR DE EDUCACAO PORTO SEGURO
2434,FACULDADE AMERICA LATINA
2435,FACULDADE DE CIENCIAS CONTABEIS LUIZ MENDES
2436,INSTITUTO DE ENSINO SUPERIOR BRASILEIRO
2437,FACULDADE PITAGORAS DE TEIXEIRA DE FREITAS
2438,INSTITUTO TEOLOGICO PASTORAL DO CEARA
2439,FACULDADE OCIDEMNTE
2440,FACULDADE CIDADE DE JOAO PINHEIRO
2441,INSTITUTO SUPERIOR DE EDUCACAO AUXILIUM
2442,FACULDADE DE CIENCIAS BIOMEDICAS DO ESPIRITO S
2443,FACULDADE FUNORTE DE JANAUBA
2444,FACULDADE UNIRB  BARREIRAS
2445,FACULDADE PADRAO
2446,INSTITUTO SUPERIOR DE EDUCACAO PADRAO
2447,INSTITUTO EDUCACIONAL DE CASTRO
2448,INSTITUTO SUPERIOR DE EDUCACAO DE JANUARIA
2449,INSTITUTO MATO GROSSO DE EDUCACAO E CULTURA
2450,FACULDADE PROMOVE DE BELO HORIZONTE
2451,FACULDADES INTEGRADAS IPIRANGA
2452,INSTITUTO BRASILEIRO DE ENSINO SUPERIOR PROFIS
2454,FACULDADE MAFRENSE DE TURISMO E CIENCIAS HUMAN
2455,FACULDADE CASTRO ALVES
2456,FACULDADE DE ADMINISTRACAO DE CHAPADAO DO SUL
2457,FACULDADE ISAAC NEWTON
2458,CENTRO UNIFICADO DE ENSINO SUPERIOR DE PERNAMB
2459,FACULDADE DE ESTUDOS AVANCADOS DO PARA
2460,FACULDADE ESTACIO DE NATAL
2461,FACULDADE CBES
2462,FACULDADE SAO LUIS
2463,FACULDADE ALVES FARIA
2464,INSTITUTO SUPERIOR DE EDUCACAO ATENEU
2465,FACULDADE IBMEC SAO PAULO
2466,FACUDADE IEDUCARE  FIED
2467,FACULDADE NACIONAL DO NORTE DO PARANA
2468,INSTITUTO TEOLOGICO FRANCISCANO
2469,INSTITUTO MACAPAENSE DE ENSINO SUPERIOR
2470,INSTITUTO SALVADOR DE ENSINO E CULTURA
2471,INTITUTO SUPERIOR DE EDUCACAO DE BLUMENAU
2472,FACULDADE DE EDUCACAO CIENCIA E TECNOLOGIA 200
2473,INSTITUTO BRASILEIRO DE ADMINISTRACAO BIM
2474,FACULDADE MARIA MILZA
2475,FACULDADE DOM LUCIANO MENDES
2476,FACULDADE FENIX DE BAURU
2477,FACULDADE DE ADMINISTRACAO DE MARIANA
2478,FACULDADE DE INTEGRACAO DO ENSINO SUPERIOR DO
2479,FACULDADE LATINO AMERICANA
2480,INSTITUTO SUPERIOR DE EDUCACAO DE ITAPOLIS
2481,ESCOLA BRASILEIRA DE FORMACAO EMPRESARIAL
2482,FACULDADE DE CIENCIAS HUMANAS E APLICADAS
2483,INSTITUTO SUPERIOR DE EDUCACAO INTEGRAL
2484,FACULDADE PROCESSUS
2485,FACULDADE CATOLICA DE FORTALEZA
2486,FACULDADE LEONARDO DA VINCI
2487,FACULDADE EXIMIA
2488,FACULDADE ANGLICANA DE ERECHIM
2489,INSTITUTO SUPERIOR DE EDUCACAOBRASIL CENTRAL
2490,INSTITUTO SUPERIOR DE ENSINO DO LITORAL CATARI
2491,INSTITUTO SUPERIOR DE EDUCACAO DO CECAP
2492,INSTITUTO SUPERIOR DE EDUCACAO A DISTANCIA DE
2493,INSTITUTO SUPERIOR DE EDUCACAO A DISTANCIA DE
2494,CENTRO UNIVERSITARIO FUNVIC
2495,INSTITUTO DE PESQUISA GRANDE VITORIA IPGV FACU
2496,INSTITUTO MACHADO DE ASSIS DE EDUCACAO
2497,CENTRO UNIVERSITARIO ATENEU
2498,FACULDADE DE MULTIPLAS CIENCIAS
2499,FASS  FACULDADE SOCIAL SUL AMERICANA
2500,FACULDADE EINSTEIN
2501,FACULDADE ESTACIO DE SA DE GOIAS
2502,FACULDADE ARINOS DE ADMINISTRACAO
2503,FACULDADE DE INTEGRACAO NACIONAL LEDA JESUINO
2505,FACULDADE DE ARTE E DESIGN
2506,INSTITUTO SUPERIOR DE EDUCACAO
2507,FACULDADE DE TECNOLOGIA E CIENCIAS DE SANTO AN
2508,INSTITUTO SUPERIOR DE EDUCACAO SANTO AGOSTINHO
2509,FACULDADE DE MEDICINA TRADICIONAL DA BAHIA
2510,FACULDADES MINAS GERAIS
2511,FACULDADE DE DIREITO UNIDADE GUARAPARI
2512,INSTITUTO SUPERIOR DE EDUCACAO CUIABANO
2513,FACULDADE POSITIVO LONDRINA
2514,FACULDADE DE CIENCIAS EDUCACIONAIS DO RIO GRAN
2515,FACULDADE ERUDITA
2516,INSTITUTO SUPERIOR DE EDUCACAO SANTA RITA
2517,FACULDADE DE ESTUDOS SOCIAIS E GESTAO
2518,FACULDADE INTENSIVA DE PEDAGOGIA E FILOSOFIA D
2519,FACULDADE DE INFORMATICA E TECNOLOGIA TERRANOV
2520,INSTITUTO DE EDUCACAO SUPERIOR TERRANOVENSE
2521,INSTITUTO SUPERIOR DE EDUCACAO DO SUL DO PIAUI
2522,INSTITUTO MARISTA SUPERIOR DE EDUCACAO
2523,FACULDADE BONDESPACHENSE
2524,FACULDADE DE ENGENHARIA DA ITAJUBA TECNOPOLIS
2525,FACULDADE PAULISTA DE CIENCIAS APLICADAS
2526,INSTITUTO SUPERIOR DE EDUCACAO
2527,INSTITUTO SUPERIOR DE EDUCACAO DE JACAREI
2528,INSTITUTO SUPERIOR DE EDUCACAO MAE DE DEUS
2529,INSTITUTO SUPERIOR DE EDUCACAO DE IGUAPE
2530,FACULDADE DE GUARULHOS
2531,INSTITUTO SUPERIOR DE EDUCACAO PROFESSORA LUCI
2532,FACULDADE DO SUDESTE GOIANO
