Cód. Atual,Língua de identificação
314,Arana
315,Arapiun
316,Arikén
317,Arikose
318,Atikum
319,Awi
320,Baenã
321,Borari
322,Botocudo
323,Catokin (Katukína)
324,Charrúa/ Charrua
325,Coiupanka
326,Guara
327,Guarino
328,Guaru
329,Isse
330,Jaricuna
331,Jeripancó/ Jeripankó
332,Kaete
333,Kaimbé
334,Kalabassa
335,Kalankó
336,Kamba/ Kámba
337,Kambiwá
338,Kambiwá Pipipã
339,Kanindé
340,Kantaruré
341,Kapinawá
342,Karapoto/ Karapotó
343,Karijo
344,Kariri/ Karirí
345,Kariri - Xocó/ Karirí-Xocó
346,Kaxixó
347,Kayuisiana -(Kaixána)
348,Kiriri
349,Kueskue
350,Manao/ Manáo
351,Maragua
352,Maytapu
353,Mucurim
354,Nawa/ Náwa
355,Paiaku
356,Pankará
357,Pankararé
358,Pankararú/ Pankarú
359,Pankararú - Kalanko
360,Pankararú - Karuazu
361,Pankaru
362,Patxôhã/ Patxoha
363,Paumelenho
364,Piri-Piri/ Pirí-Pirí
365,Pitaguari/ Pitaguarí
366,Potiguara/ Potiguára
367,Puri/ Purí
368,Sapará/ Sapara
369,Tabajara
370,Tapajós
371,Tapeba
372,Tapiuns/ Tapiun
373,Tapuía/ Tapúya
374,Tingui Botó/ Tinguí-Botó
375,Tremembé
376,Truká
377,Tumbalalá
378,Tupinambá
379,Tupinambaraná
380,Tupiniquim
381,Tuxá
382,Waira
383,Waiána-Apalaí
384,Wajuju/ Wajujú
385,Wassú (Wasusú)
386,Xocó
387,Xucuru/ Xukurú
388,Xucuru - Kariri/ Xukurú-Karirí
999,Outras Linguas Indigenas
9,Anambé1
101,Mandawáka1
8,Amawáka1
41,Guariba1
202,Aurê-Aurá
